Probe	Chromosome	Start	End	Strand	Expression
Gm10925	1	24620814	24621627	-	-3.793863
Lmbrd1	1	24685383	24823144	+	3.7131374
Bai3	1	25124321	25886552	-	-2.1653423
Gm9884	1	25887502	25888723	+	-4.4564342
4931408C20Rik	1	26738646	26744305	-	-6.2818904
Gm11161	1	27099346	27286771	+	-1.0215847
Gm597	1	28832989	28837097	-	-5.683205
Gm17684	1	28912033	28912718	+	-2.1786857
Gm9898	1	30775399	30776806	-	-4.3887577
Phf3	1	30859187	30930539	-	4.3003335
Ptp4a1	1	30997148	31006615	-	-0.002347494
Gm5698	1	31033795	31035810	-	-4.357489
Gm5699	1	31054712	31056750	-	-4.3862815
4931428L18Rik	1	31197923	31279506	-	-0.73683673
Lgsn	1	31233251	31261501	+	-1.9128147
4930521A18Rik	1	31279684	31281132	+	-1.5502447
Khdrbs2	1	32229651	32714583	+	-4.6097355
Gm9839	1	32576408	32577844	-	-4.6902504
Gm5415	1	32600391	32604138	-	-6.073311
Prim2	1	33510656	33726631	-	4.300325
1700001G17Rik	1	33726688	33727557	+	-0.6443493
Rab23	1	33776727	33799409	+	2.4161825
Bag2	1	33802329	33814639	-	-0.32841292
Zfp451	1	33817317	33871440	-	3.194845
Bend6	1	33908897	33964661	-	-1.3234102
Dst	1	33965125	34365495	+	3.2981756
Gm16750	1	34222701	34235118	-	0.42373773
Gm11158	1	34428991	34460294	-	-1.6022853
Ccdc115	1	34493516	34496517	-	3.691621
Imp4	1	34496696	34502581	+	4.8773246
Ptpn18	1	34516591	34532499	+	3.3801708
Prss39	1	34555275	34559907	+	-4.484494
Cfc1	1	34592493	34601156	+	0.57486266
Prss40	1	34600820	34617788	-	-2.4992392
1700101I19Rik	1	34636069	34636458	-	-2.808736
Fam123c	1	34636538	34647783	+	-4.55124
C230030N03Rik	1	34735033	34781146	+	-3.8486845
Arhgef4	1	34778769	34870154	+	-1.5832775
Fam168b	1	34870064	34899910	-	4.3399763
Plekhb2	1	34906804	34936425	+	2.3261664
Hs6st1	1	36125245	36163291	+	3.80586
Uggt1	1	36198375	36301150	-	4.294982
Neurl3	1	36321447	36330270	-	-2.3842347
Arid5a	1	36364578	36380874	+	0.005738811
4632411B12Rik	1	36392575	36426026	-	5.839956
Fer1l5	1	36473733	36478955	+	3.1942437
Lman2l	1	36478910	36502116	-	3.3682795
Cnnm4	1	36528442	36565621	+	5.5973973
Cnnm3	1	36568712	36585082	+	4.756988
Ankrd23	1	36587379	36592584	-	1.4033356
Ankrd39	1	36595018	36604046	-	1.3575342
Sema4c	1	36605487	36615194	-	0.66896176
D430040D24Rik	1	36615204	36622458	+	2.9912393
Fam178b	1	36619539	36740028	-	5.313224
Cox5b	1	36748332	36750230	+	5.6229224
Actr1b	1	36756047	36771267	-	4.951503
Zap70	1	36818695	36839663	+	-0.71195483
Tmem131	1	36849036	36996372	-	5.27842
Rpl12-ps1	1	37014738	37015362	-	-3.4891183
Vwa3b	1	37083441	37133841	+	-5.1172853
Vwa3b	1	37210689	37244450	+	-3.6049504
Cnga3	1	37275181	37320229	+	-2.3243632
Inpp4a	1	37356710	37467581	+	2.0692418
4930439A04Rik	1	37386512	37391017	-	-3.9512753
6330578E17Rik	1	37473929	37486948	-	4.049112
Unc50	1	37487015	37495969	+	5.431223
Mgat4a	1	37496185	37597861	-	2.1636486
2010300C02Rik	1	37668522	37776930	-	-0.8991631
4930556I23Rik	1	37671104	37672217	+	-3.330689
Tsga10	1	37811417	37922143	-	2.167643
Gm17715	1	37922144	37928233	+	-5.79433
Lipt1	1	37928583	37934232	+	2.9568758
Mitd1	1	37931646	37947256	-	2.365142
Mrpl30	1	37947322	37955380	+	3.3649018
Lyg2	1	37962766	37973338	-	-5.5267115
Gm15457	1	37990441	38010981	+	-6.163579
Lyg1	1	38003581	38014604	-	-3.8438184
Txndc9	1	38040712	38054191	-	1.6852905
Eif5b	1	38054855	38112424	+	4.795033
Rev1	1	38109632	38186507	-	5.2708316
Aff3	1	38234171	38721800	-	4.008802
Gm16150	1	38292265	38303511	+	-2.8822927
Gm16151	1	38364747	38368775	+	-3.5210779
Gm16152	1	38441794	38450819	+	-5.057053
Lonrf2	1	38850514	38892935	-	4.5406756
Chst10	1	38920722	38955005	-	1.9211566
Nms	1	38995994	39007123	+	-4.019509
Pdcl3	1	39044659	39054081	+	3.0533993
Npas2	1	39250576	39420079	+	0.7585114
Rpl31	1	39424696	39428753	+	6.4936852
Tbc1d8	1	39428344	39535592	-	3.8256578
D1Bwg0212e	1	39591837	39603726	+	4.329743
Gm15832	1	39604415	39608847	-	1.4151741
Rnf149	1	39608141	39634250	-	3.7791464
Creg2	1	39675251	39708027	-	-2.6441004
D930019O06Rik	1	39707021	39714235	+	-2.7182877
Rfx8	1	39722151	39777842	-	0.61917317
Gm3646	1	39861028	39861189	-	-1.5412558
Map4k4	1	39957758	40083155	+	6.065052
Gm16894	1	40133073	40142698	-	-3.922505
Il1r2	1	40141613	40182064	+	-4.4341865
Il1r1	1	40281925	40373043	+	2.899482
Il1rl2	1	40381472	40422316	+	-5.1306643
Il1rl1	1	40486415	40522260	+	-4.2155657
Il18r1	1	40522397	40557699	+	-6.4238987
Il18rap	1	40572207	40608550	+	-6.9225054
Slc9a4	1	40637072	40687576	+	-0.86205184
Slc9a2	1	40738557	40825730	+	-3.8196537
Mfsd9	1	40828883	40847532	-	0.91266316
Tmem182	1	40862446	40912112	+	-4.299438
Gm9915	1	42286571	42287953	+	-4.634991
2610017I09Rik	1	42705223	42723757	-	-1.8307625
Pou3f3	1	42753991	42757052	+	-3.3077333
Mrps9	1	42908078	42962527	+	4.438902
Gpr45	1	43009719	43011992	+	-1.7189965
Gpr45	1	43088905	43090450	+	-3.0587647
Tgfbrap1	1	43104114	43155467	-	3.533601
8430432A02Rik	1	43149433	43150680	+	-1.16488
AI597479	1	43155555	43172792	+	2.6127276
Fhl2	1	43179919	43220806	-	-3.6595047
Nck2	1	43502596	43627360	+	1.6172698
1500015O10Rik	1	43787447	43799423	+	-0.86638635
Uxs1	1	43803811	43884645	-	2.0697927
Tpp2	1	43990847	44059844	+	4.401544
A530098C11Rik	1	44066253	44076879	-	-6.271527
Gm8251	1	44112797	44118781	-	-4.0115757
1700029F09Rik	1	44143458	44159286	-	4.5250344
Kdelc1	1	44148308	44175653	-	2.1342382
Bivm	1	44175802	44201615	+	2.0295143
Ercc5	1	44204589	44238105	+	2.4385438
4832428D23Rik	1	44260915	44275806	-	-6.1530547
Gulp1	1	44608356	44853678	+	-5.923231
Col3a1	1	45368383	45406551	+	1.8669112
Col5a2	1	45431166	45560127	-	-1.8845508
Wdr75	1	45852011	45880464	+	3.7327855
Slc40a1	1	45964915	45982439	-	0.43724293
Rpl23a-ps1	1	46038393	46038860	+	-3.0717707
Gm3852	1	46068602	46068865	-	-2.2458
Gm4776	1	46076917	46087314	-	-6.3896856
Dnahc7b	1	46123583	46430395	+	1.6747354
Dnahc7c	1	46665806	46682956	+	-3.4587936
Slc39a10	1	46864389	46910891	-	2.2074041
C230029F24Rik	1	49301460	49395090	+	-3.2458
Tmeff2	1	50957491	51244114	+	-6.514459
Sdpr	1	51345970	51359803	+	-3.3039591
Obfc2a	1	51526342	51535243	-	4.927974
Myo1b	1	51806609	51972915	-	2.2533622
Gm8420	1	51997494	51998105	-	-3.4587936
Stat4	1	52043992	52164032	+	-5.8207088
Gm3940	1	52147479	52147910	-	-2.9562933
Stat1	1	52176282	52218704	+	2.9425983
Gls	1	52220292	52290076	-	1.6077259
Nab1	1	52514138	52557523	-	1.9941024
Tmem194b	1	52687549	52708763	+	1.2702568
Mfsd6	1	52713130	52784306	-	2.7177248
Inpp1	1	52846257	52874532	-	1.0355195
Hibch	1	52901857	52977830	+	0.99163556
1700019D03Rik	1	52979168	53020104	-	-2.6943405
Mstn	1	53118507	53124923	+	-5.5904994
1700019A02Rik	1	53215421	53244461	-	-2.3417244
Pms1	1	53246031	53353862	-	0.75899863
Ormdl1	1	53353939	53367153	+	1.7087816
Osgepl1	1	53370468	53383187	+	1.6687112
Asnsd1	1	53382351	53409596	-	5.135195
Dnahc7a	1	53604023	53622541	-	-3.3067906
Stk17b	1	53812350	53842068	-	3.0919588
Hecw2	1	53863726	54252012	-	-0.40528348
Ccdc150	1	54307527	54425571	+	2.078903
Gtf3c3	1	54454425	54495815	-	3.4849105
Pgap1	1	54529844	54532810	-	-2.584192
Pgap1	1	54537550	54614526	-	0.5293488
Ankrd44	1	54702184	54983231	-	1.4934928
Sf3b1	1	55042013	55084322	-	5.336332
Coq10b	1	55109614	55129545	+	0.44030157
Hspd1	1	55134679	55145087	-	4.7643347
Hspe1	1	55144976	55148151	+	3.41943
Mob4	1	55188075	55211743	+	1.742762
Rftn2	1	55227003	55283626	-	-1.8139057
Gm10561	1	55283095	55292466	+	-5.1254764
Mars2	1	55294021	55296902	+	2.8152945
Boll	1	55305502	55420313	-	1.9131658
Plcl1	1	55463232	55808646	+	-2.554023
Hsfy2	1	56692897	56694295	-	-4.651586
Satb2	1	56850830	57029346	-	1.8271189
9130024F11Rik	1	57028313	57099359	+	-1.9474498
4930558J18Rik	1	57416066	57434348	-	1.4356141
1700066M21Rik	1	57434464	57442267	+	1.082509
1110034B05Rik	1	57445081	57463945	-	2.2463732
9430016H08Rik	1	57463172	57474797	+	2.320935
Spats2l	1	57831006	58005241	+	-1.3533626
Gm17234	1	57966679	57973955	-	-2.8161156
Kctd18	1	58011945	58075800	-	1.6946552
Sgol2	1	58052815	58082743	+	2.1110466
Aox1	1	58086775	58163257	+	-4.812615
Aox3	1	58169974	58257542	+	-4.2443647
Aox4	1	58267241	58325441	+	-1.0333084
Gm15759	1	58310961	58372500	-	-3.1042979
Aox3l1	1	58335170	58436108	+	-6.422993
Bzw1	1	58449980	58463392	+	5.1855206
Clk1	1	58467033	58480910	-	2.1248684
Ppil3	1	58487838	58502330	-	2.654157
Nif3l1	1	58501995	58538660	+	3.7623444
Orc2	1	58519615	58561953	-	4.5130672
Gm15834	1	58561992	58580074	+	-1.5779742
Fam126b	1	58579650	58643167	-	1.3421276
Ndufb3	1	58643228	58652808	+	2.375058
Gm10068	1	58703452	58705161	+	-4.941187
Als2cr12	1	58714961	58752833	-	-4.8262014
Cflar	1	58768352	58815728	+	-3.25977
Casp8	1	58852218	58904347	+	-1.3187892
Trak2	1	58957293	59030274	-	2.625001
Stradb	1	59030366	59052559	+	4.242632
Als2cr11	1	59053967	59060287	-	0.6615005
Gm17570	1	59060795	59062069	-	-4.5176873
Als2cr11	1	59107350	59151744	-	0.59957623
Als2cr4	1	59157438	59177203	-	2.8498697
Mpp4	1	59177780	59220233	-	1.8102862
Als2	1	59219770	59294075	-	3.8269749
Cdk15	1	59313750	59409837	+	-0.88171744
Fzd7	1	59538991	59543791	+	0.07902995
Gm17453	1	59545324	59549449	-	-6.0099683
Gm973	1	59573108	59691352	+	2.0461133
Sumo1	1	59696278	59727678	-	1.3788707
Nop58	1	59741853	59768968	+	5.3122377
Bmpr2	1	59821481	59927703	+	3.6644237
Fam117b	1	59969850	60042190	+	4.2544613
Ica1l	1	60045914	60099931	-	2.676128
Wdr12	1	60133712	60155489	-	1.7171069
Carf	1	60155091	60207876	+	2.5960894
Nbeal1	1	60237443	60395172	+	1.6443702
Cyp20a1	1	60400167	60444904	+	1.8032149
Abi2	1	60466539	60537999	+	3.8412304
Raph1	1	60540080	60623948	-	3.479507
Cd28	1	60773644	60830203	+	-6.6291904
Gm11579	1	60833509	60838678	-	-3.7722104
2310016D23Rik	1	60835687	60860634	+	-2.8013186
Ctla4	1	60943844	60972676	+	-5.235517
Icos	1	61034771	61057164	+	-5.945399
Gm11587	1	61363480	61364590	+	1.2269813
9530026F06Rik	1	61435276	61452748	+	-4.0023055
Gm11588	1	61496945	61526319	+	-3.5633495
4930587A21Rik	1	61663517	61667723	-	-3.9344213
Pard3b	1	61685398	62688858	+	1.8648626
4930448K12Rik	1	61813989	61898114	-	-2.0035992
Gm12747	1	62177769	62182683	-	-3.793863
Gm11610	1	62503299	62545835	-	-3.95295
Nrp2	1	62749859	62865269	+	-4.2644806
Ino80d	1	63004992	63161241	-	1.551377
Gm11602	1	63161045	63204864	+	3.6323261
Ndufs1	1	63190170	63223396	-	5.2446504
Eef1b2	1	63223399	63227060	+	5.5811734
Gpr1	1	63229265	63261117	-	-2.6493156
Gm11607	1	63246887	63254188	+	-2.901152
Gm11608	1	63313422	63319694	-	-1.8340378
Zdbf2	1	63319839	63361150	+	3.5563412
Adam23	1	63492465	63643089	+	1.8007516
Dytn	1	63669425	63733501	-	-5.0491676
Mdh1b	1	63745393	63776892	-	-0.40443918
Fastkd2	1	63777188	63801229	+	2.225131
4933402D24Rik	1	63801481	63815841	-	-4.9811254
Gm13749	1	64011301	64015573	+	-4.6852217
Klf7	1	64076021	64168856	-	1.4688201
Gm17427	1	64076037	64079501	+	1.1287243
Gm13748	1	64125228	64137356	+	-0.6116451
Creb1	1	64579378	64651121	+	1.6128219
Mettl21a	1	64653047	64663816	-	2.3281853
2810408I11Rik	1	64726445	64737233	-	2.983371
Ccnyl1	1	64737029	64772218	+	3.032229
Fzd5	1	64777134	64784324	-	1.9505973
Plekhm3	1	64832557	65003398	-	3.1039321
Akr1cl	1	65059263	65079333	-	-0.11138466
Cryge	1	65095128	65097723	-	-3.6992576
Crygd	1	65108446	65110026	-	-4.2070303
Crygc	1	65118099	65120263	-	-3.8197913
Crygb	1	65126804	65128862	-	-2.3324912
Cryga	1	65146963	65149947	-	-3.7131584
D630023F18Rik	1	65147193	65169788	-	-3.6083016
Idh1	1	65205190	65233053	-	2.8696773
Pikfyve	1	65233324	65320586	+	3.9613655
Pth2r	1	65328630	65435818	+	-5.5356793
Crygf	1	65973096	65974881	+	-3.4891183
Mtap2	1	66221847	66489157	+	-1.6119962
Gm10558	1	66368850	66375370	-	-4.8992424
Unc80	1	66514941	66746440	+	-4.547088
Rpe	1	66747405	66766379	+	2.7040594
1110028C15Rik	1	66765817	66864169	-	3.2993906
Acadl	1	66877413	66909851	-	1.6677111
Myl1	1	66970869	66991978	-	-4.9917545
Lancl1	1	67047091	67085446	-	5.0700245
Cps1	1	67169600	67277833	+	0.9119055
Gm15668	1	67295774	67370183	+	-2.454544
Gm15669	1	67839055	67851898	+	-3.2403247
Gm15671	1	68051660	68072470	+	-3.7826064
Erbb4	1	68078760	69154633	-	-3.64221
Gm16076	1	69138487	69153314	-	-3.1082964
Ikzf2	1	69577788	69732534	-	-1.6958658
Spag16	1	69873562	70771706	+	-2.181666
Vwc2l	1	70772289	70931971	+	-6.9579835
Bard1	1	71074072	71149720	-	2.2491374
Abca12	1	71289664	71461484	-	-3.371851
Atic	1	71603724	71626205	+	4.0977764
Fn1	1	71632094	71699774	-	3.8753586
Apol7d	1	71699411	71709417	+	-0.4944176
Gm5528	1	72050862	72051344	+	-3.1172853
Mreg	1	72205807	72258881	-	1.6094446
D230017M19Rik	1	72283039	72321443	+	-0.6233204
Pecr	1	72305741	72330888	-	2.0710437
Tmem169	1	72330943	72349678	+	-2.0409245
Xrcc5	1	72353995	72441526	+	5.1716175
Mar-04	1	72473686	72583504	-	-3.3946495
Smarcal1	1	72629825	72679708	+	3.6823144
Ankar	1	72689554	72747138	-	-2.4009728
Rpl37a	1	72757834	72760383	+	7.238531
Igfbp2	1	72871077	72899048	+	2.50902
Igfbp5	1	72904506	72921458	-	1.8781888
Tnp1	1	73061657	73062473	-	-2.9087648
Tns1	1	73956805	74171021	-	-1.751975
Rufy4	1	74172115	74194797	+	-4.2348976
Cxcr2	1	74200563	74207812	+	-5.7712617
Cxcr1	1	74238359	74241205	-	-4.3371153
Arpc2	1	74283071	74314783	+	6.5253377
Gpbar1	1	74325124	74326198	+	-4.271527
Aamp	1	74326421	74331254	-	5.5809517
Pnkd	1	74331504	74400268	+	4.3814235
Tmbim1	1	74334821	74352196	-	-2.0048532
Gm216	1	74408682	74415895	+	-5.08695
Slc11a1	1	74421777	74432636	+	-3.579614
Ctdsp1	1	74438083	74443859	+	3.5143454
Vil1	1	74455950	74482133	+	5.4192696
Usp37	1	74482084	74590860	-	4.7122116
Rqcd1	1	74552632	74577418	+	5.856784
Plcd4	1	74589462	74614368	+	2.7363446
Zfp142	1	74611701	74634820	-	4.1664953
Bcs1l	1	74634863	74639017	+	4.374166
Rnf25	1	74640322	74647971	-	2.848508
Stk36	1	74648019	74683468	+	3.4507093
Ttll4	1	74708319	74748406	+	5.0106816
Cyp27a1	1	74760148	74784464	+	-2.6116452
Prkag3	1	74786073	74795795	-	-5.801783
Wnt6	1	74818466	74831893	+	1.8069415
Wnt10a	1	74838090	74850753	+	-5.4705324
Gm16582	1	74897469	74926527	+	-5.1157913
Cdk5r2	1	74901508	74904005	+	-3.0140324
Fev	1	74928083	74931993	-	-4.86051
Cryba2	1	74936508	74939717	-	-4.4205747
Ccdc108	1	74948645	74982173	-	-1.8943392
Gm15841	1	74948945	74954227	+	-1.0634233
Ihh	1	74991891	74998246	-	-0.36316356
Nhej1	1	75013713	75093213	-	4.6348214
Slc23a3	1	75122117	75130464	-	-5.207732
1810031K17Rik	1	75131128	75139271	-	4.9754853
Fam134a	1	75139360	75144483	+	6.9429603
Zfand2b	1	75165220	75168203	+	4.1194363
Abcb6	1	75168291	75176966	-	5.1374626
Atg9a	1	75177440	75188497	-	4.425157
Ankzf1	1	75188709	75195962	+	3.6864996
Glb1l	1	75194818	75207353	-	3.6821854
Stk16	1	75207413	75212181	+	4.6783686
Tuba4a	1	75211549	75215828	-	1.2138659
Dnajb2	1	75233040	75241379	+	1.9164062
Ptprn	1	75243616	75260783	-	-4.8368974
Resp18	1	75268774	75274990	-	-3.7483003
Dnpep	1	75304471	75314212	-	5.6291194
Des	1	75356904	75365154	+	-2.2231758
Gm15179	1	75364787	75371587	-	-3.961294
Speg	1	75371872	75428895	+	-0.49349737
Gm15178	1	75388706	75392938	-	-1.3470832
Gmppa	1	75432505	75439754	+	3.8821342
Accn4	1	75447011	75470918	+	-3.8775392
Chpf	1	75471144	75476046	-	4.289366
Obsl1	1	75475885	75503027	-	2.8533118
Tmem198	1	75476107	75482280	+	-1.091494
Inha	1	75503652	75506941	+	2.9786868
Stk11ip	1	75518104	75533910	+	4.12122
Slc4a3	1	75542841	75558747	+	-1.6930913
Epha4	1	77363760	77511663	-	0.4829347
Pax3	1	78097842	78193709	-	-6.79643
Sgpp2	1	78306921	78416861	+	0.3430866
Farsb	1	78414533	78485434	-	6.115002
BC035947	1	78494381	78508538	-	-5.229312
Mogat1	1	78507566	78534748	+	-4.654882
Acsl3	1	78654400	78703562	+	3.105082
Utp14b	1	78654613	78664163	+	1.6458555
Kcne4	1	78813502	78816599	+	-5.4798555
Gm5830	1	78964212	78964654	-	-2.5142887
Scg2	1	79431244	79436665	-	-5.480436
Ap1s3	1	79603451	79668547	-	-1.955291
Wdfy1	1	79698837	79772718	-	3.9597168
Mrpl44	1	79772593	79778020	+	5.389249
Serpine2	1	79790772	79855271	-	0.024748586
Fam124b	1	80195281	80215048	-	0.38738748
Cul3	1	80261498	80337055	-	5.8215365
Gm6189	1	80379679	80381763	-	-3.0752344
Dock10	1	80497648	80755128	-	-3.2146688
9430031J16Rik	1	81073525	81338339	+	-7.8122005
Irs1	1	82229676	82287991	-	-2.7485807
Gm9747	1	82229687	82232508	+	-2.34198
Rhbdd1	1	82313027	82441941	+	2.0551755
Col4a4	1	82447298	82583424	-	-1.2388805
Col4a3	1	82583496	82718634	+	-4.162421
C430014B12Rik	1	82688503	82721692	-	3.662851
Mff	1	82721465	82748969	+	4.8845744
Tm4sf20	1	82753224	82765036	-	-4.7598267
Agfg1	1	82836058	82892850	+	5.2084203
Slc19a3	1	83009098	83035023	-	-3.639522
Ccl20	1	83113341	83115742	+	-4.6740966
Wdr69	1	83156327	83207149	+	-0.30544296
Sphkap	1	83250714	83404775	-	-7.2822733
Pid1	1	84032868	84281220	-	-5.444937
Dner	1	84366416	84692796	-	0.5511081
Trip12	1	84717764	84835879	-	6.2764745
Fbxo36	1	84836416	84897062	+	1.5683194
Slc16a14	1	84902473	84931700	-	-5.84436
C130026I21Rik	1	84989265	85267141	-	-1.9514008
A530032D15Rik	1	85079644	85106428	-	-4.6959615
A530040E14Rik	1	85102521	85110610	+	-3.6462135
Gm7609	1	85196188	85210361	+	-5.4868083
Gm16028	1	85243426	85252040	+	-1.2621018
Gm2619	1	85305234	85323881	-	-2.8914037
Gm16025	1	85323304	85339190	+	-5.445175
Gm16092	1	87407708	87423736	-	-5.433227
Gm7592	1	87423175	87465775	+	-5.782606
Sp110	1	87473474	87495392	-	-4.1700726
Gm16094	1	87495861	87496414	+	-2.9394982
Sp140	1	87496953	87541612	+	-0.7498425
Gm10552	1	87500660	87508471	-	-4.2458
Gm17017	1	87537797	87547160	-	-2.1112988
Sp100	1	87546563	87606573	+	-5.93281
A630001G21Rik	1	87613658	87675218	-	-3.8733008
Cab39	1	87690016	87748151	+	4.791074
Itm2c	1	87790856	87805250	+	2.19165
4933407L21Rik	1	87825058	87837199	+	-4.450519
Gpr55	1	87836112	87857630	-	-3.3656843
Spata3	1	87913391	87926533	+	-5.196466
2810459M11Rik	1	87942438	87952031	+	-5.7511425
Psmd1	1	87960962	88059363	+	5.482372
Htr2b	1	87995601	88008545	-	-5.1067176
Armc9	1	88051355	88174859	+	2.5125263
Gm16341	1	88172084	88197950	-	-2.7598267
B3gnt7	1	88199796	88203878	+	1.0195818
Gm5258	1	88219842	88220168	+	-2.5545528
Ncl	1	88241294	88256030	-	5.828699
C130036L24Rik	1	88256149	88270366	+	-0.11039326
Nmur1	1	88282817	88284737	-	-4.5699124
Rpl30-ps6	1	88370234	88370581	+	-2.6443493
Ptma	1	88423311	88427273	+	7.0595427
Pde6d	1	88439569	88479204	-	4.608323
Cops7b	1	88479479	88503553	+	4.2145567
Nppc	1	88562866	88567147	-	-4.227929
Dis3l2	1	88600379	88946672	+	2.9147942
Alppl2	1	88983265	88986503	-	-4.0944796
Alpi	1	88994579	88998181	-	-3.6536472
Akp3	1	89021583	89024487	+	-4.9156513
Ecel1	1	89044230	89053096	-	-3.8225417
1700027L20Rik	1	89083240	89084978	+	-3.989308
Chrnd	1	89087227	89096644	+	-4.6187835
Chrng	1	89102386	89108410	+	-3.9570446
Eif4e2	1	89110489	89137063	+	4.5813313
Efhd1	1	89160938	89207414	+	-1.1957593
Gm16535	1	89161056	89161749	-	-2.5764453
Gigyf2	1	89223573	89347371	+	4.0249968
